date,uf,expvida,renda,pop,popido,dia,date,state,refuses,cases,deaths,mes,insolacao,temperatura,umidade,suspects,foreign
06/03/2020,11,71.5,1.136,1777225,102603,38,06/03/2020,RondÃ´nia,0,0,0,3,3.6935501,26.549999,87.395203,1,0
21/03/2020,12,74.199997,889,881935,41254,52,21/03/2020,Acre,139,11,0,3,3.6935501,26.549999,87.395203,5,0
27/03/2020,13,72.099998,842,4144597,18656,58,27/03/2020,Amazonas,0,81,1,3,3.09355,27.9589,79.241898,0,5093
24/03/2020,14,71.800003,1.043,605761,21642,55,24/03/2020,Roraima,0,2,0,3,5.8499999,28.635599,60.758099,0,0
15/03/2020,15,72.300003,806,8602865,471183,46,15/03/2020,ParÃ¡,23,0,0,3,2.9516101,26.276699,92.621002,1,5893
26/03/2020,16,74.199997,879,845731,32791,57,26/03/2020,AmapÃ¡,0,2,0,3,3.7451601,26.494101,80.346802,0,0
14/03/2020,17,73.699997,1.0549999,1572866,103062,45,14/03/2020,Tocantins,0,0,0,3,3.7,26.937599,79.633301,2,0
21/03/2020,21,70.900002,635,7075181,442487,52,21/03/2020,MaranhÃ£o,135,1,0,3,2.81935,27,88,214,0
21/03/2020,22,71.199997,826,3273227,252952,52,21/03/2020,PiauÃ­,62,4,0,3,8.75,29.6,60,129,0
31/01/2020,23,74.099998,942,9132078,747063,2,31/01/2020,CearÃ¡,0,0,0,1,10.8,28.379999,72,1,21419
29/02/2020,24,76,1.056,3506853,297272,32,29/02/2020,Rio Grande do Norte,2,0,0,2,7.2645202,27.822599,81.395203,3,5448
27/02/2020,25,73.5,928,4018127,358834,30,27/02/2020,ParaÃ­ba,0,0,0,2,6.4640002,28.432301,79.962997,1,103
29/02/2020,26,74.300003,970,9557071,785177,32,29/02/2020,Pernambuco,2,0,0,2,7.7354798,27.759399,70.9758,5,24651
28/02/2020,27,72,730,3337357,238539,31,28/02/2020,Alagoas,0,0,0,2,7.0999999,26.559999,79.875,1,592
07/03/2020,28,72.900002,979,2298696,160006,39,07/03/2020,Sergipe,1,0,0,3,7.9210501,28.1035,63.302601,1,0
27/02/2020,29,73.699997,912,14873064,1275167,30,27/02/2020,Bahia,2,0,0,2,6.1516099,27.2897,80.1371,1,26199
30/01/2020,31,77.5,1.357,21168791,2183319,1,30/01/2020,Minas Gerais,0,0,0,1,5.5483899,23.5903,66.935501,1,22302
27/02/2020,32,78.5,1.476,4018650,370111,30,27/02/2020,EspÃ­rito Santo,0,0,0,2,5.0548401,27.071699,77.927399,1,0
30/01/2020,33,76.5,1.881,17264943,1927698,1,30/01/2020,SÃ£o Paulo,1,0,0,1,5.0322599,23.200001,79,3,187736
31/01/2020,35,78.400002,1.9450001,45919049,4684890,2,31/01/2020,Rio de Janeiro,1,0,0,1,5.0548401,22.740601,75.161301,0,641062
30/01/2020,41,77.400002,1.62,11433957,1140676,1,30/01/2020,ParanÃ¡,1,0,0,1,5.0307698,20.4231,81,1,6349
30/01/2020,42,79.400002,1.7690001,7164788,679453,1,30/01/2020,Santa Catarina,2,0,0,1,5.0307698,24.8571,73.076897,0,18061
31/01/2020,43,78,1.842,11377239,1417572,2,31/01/2020,Rio Grande do Sul,3,0,0,1,10.4871,25.0161,60.5242,2,17283
28/02/2020,50,75.800003,1.5140001,2778986,223917,31,28/02/2020,Mato Grosso do Sul,0,0,0,2,6.56774,25.290001,74.580597,2,0
19/03/2020,51,74.5,1.402,3484466,230645,50,19/03/2020,Mato Grosso,11,0,0,3,4.6896601,28.064699,87.158302,59,0
29/02/2020,52,74.300003,1.306,7018354,530195,32,29/02/2020,GoiÃ¡s,0,0,0,2,6.1599998,25.379999,73.677399,5,0
