Pro;CCAA;ID_INE;D14Mar;D15Mar;D16Mar;D17Mar;D18Mar;D19Mar;D20Mar;D21Mar;D22Mar;D23Mar;D24Mar;D25Mar;D26Mar;D27Mar;D28Mar;D29Mar;D30Mar;D31Mar;D01Abr;D02Abr;D03Abr;D04Abr;D05Abr;;
Albacete;Castilla - La Mancha;2;70;79;126;148;203;259;327;430;430;430;583;752;666;780;1114;1386;1537;1707;1933;2098;2386;2548;2653;;
Alicante/Alacant;Comunitat Valenciana;3;57;151;169;186;293;338;372;372;372;603;628;857;1039;1093;1322;1734;1839;2021;2173;2320;2445;2559;2627;;
Almeria;Andalucia;4;14;14;26;26;30;37;49;53;58;74;91;115;134;142;173;200;223;251;262;290;329;329;665;;
Araba/alava;Pais Vasco;1;360;409;444;474;545;621;703;801;912;1009;1086;1207;1435;1610;1779;1947;2049;2105;2226;2347;2447;2539;2639;;
Asturias;Asturias, Principado de;33;92;137;177;193;242;292;344;486;545;662;779;779;900;1004;1088;1158;1236;1236;1384;1433;1522;1605;1646;;
Avila;Castilla y Leon;5;10;10;17;18;42;59;63;114;114;159;201;226;270;270;381;414;446;467;512;560;590;638;679;;
Badajoz;Extremadura;6;25;28;39;50;61;77;91;111;111;168;217;257;329;390;437;465;515;561;586;625;645;662;672;;
Baleares;Illes Balears;7;28;28;73;92;112;169;203;246;246;246;478;478;660;755;862;958;1000;1069;2262;1204;1257;1257;1293;;
Barcelona;Cataluña;8;825;1239;1753;2319;2956;2620;2558;3304;3637;4507;6002;9045;10152;11136;11704;11638;14835;14755;15585;18443;19395;20347;20347;;
Bizkaia;Pais Vasco;48;115;158;194;201;297;393;539;651;860;1032;1189;1501;1850;2186;2463;2776;2937;3102;1206;3682;4024;4224;4489;;
Burgos;Castilla y Leon;9;113;119;121;126;165;187;208;269;269;336;392;485;530;530;673;719;749;790;848;895;940;964;985;;
Caceres;Extremadura;10;45;67;89;103;133;164;206;243;243;325;419;485;640;841;957;991;1045;1067;1093;1212;1248;1317;1375;;
Cadiz;Andalucia;11;29;34;56;56;74;84;103;126;134;178;245;278;299;348;406;447;507;539;645;697;806;806;1642;;
Cantabria;Cantabria;39;31;51;58;58;68;83;144;215;282;347;425;510;671;810;937;1023;1100;1171;1213;1268;1321;1384;1441;;
Castellon/Castello;Comunitat Valenciana;12;7;25;32;39;54;59;104;104;104;211;229;269;373;412;449;542;586;613;660;697;740;787;852;;
Ciudad Real;Castilla - La Mancha;13;49;85;127;139;177;216;400;505;505;505;684;885;1147;1422;1543;1755;2041;2297;2471;2807;3098;3496;3854;;
Cordoba;Andalucia;14;35;37;68;68;78;101;125;143;180;191;234;291;349;359;424;473;572;661;687;782;877;877;1866;;
Coruña, A;Galicia;15;42;81;121;144;168;222;270;329;384;524;635;734;824;1049;1177;1351;1351;1687;1828;1969;2122;2287;2417;;
Cuenca;Castilla - La Mancha;16;24;30;44;51;62;72;94;120;120;120;163;172;177;180;222;253;268;293;297;308;367;449;497;;
Gerona;Cataluña;17;35;48;65;103;134;181;221;256;360;543;706;877;919;969;969;969;969;988;1180;1300;1450;1608;1608;;
Gipuzkoa;Pais Vasco;20;46;63;89;90;131;176;223;273;325;380;453;563;661;805;894;1017;1071;1113;1200;1288;1356;1424;1500;;
Granada;Andalucia;18;43;57;95;95;130;176;244;289;335;374;480;579;648;711;806;860;963;1061;1182;1230;1340;1340;2856;;
Guadalajara;Castilla - La Mancha;19;88;109;137;145;175;205;237;263;263;263;356;404;428;440;441;535;586;643;753;796;824;837;858;;
Huelva;Andalucia;21;6;6;8;8;14;23;36;37;47;58;70;77;95;105;120;131;168;177;195;224;266;266;553;;
Huesca;Aragon;22;1;3;14;17;19;24;34;37;37;37;68;97;119;150;174;201;215;244;317;349;368;393;396;;
Jaen;Andalucia;23;38;47;52;52;77;87;119;138;171;215;259;316;349;414;465;501;599;661;742;788;867;867;1788;;
La Rioja;Rioja, La;26;278;300;312;355;419;468;497;564;654;747;802;928;995;1236;1436;1629;1733;1810;1947;2083;2224;2405;2592;;
Leon;Castilla y Leon;24;33;47;47;75;106;134;164;201;201;290;362;438;516;516;726;821;918;964;1007;1066;1125;1204;1261;;
