"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,33,"BRA","Brazil",1,"Acre","Estado","State",NA,NA
2,33,"BRA","Brazil",2,"Alagoas","Estado","State",NA,NA
3,33,"BRA","Brazil",3,"Amapá","Estado","State",NA,NA
4,33,"BRA","Brazil",4,"Amazonas","Estado","State",NA,"Amazone"
5,33,"BRA","Brazil",5,"Bahia","Estado","State",NA,"Ba¡a"
6,33,"BRA","Brazil",6,"Ceará","Estado","State",NA,NA
7,33,"BRA","Brazil",7,"Distrito Federal","Distrito Federal","Federal District",NA,NA
8,33,"BRA","Brazil",8,"Espírito Santo","Estado","State",NA,"Espiritu Santo"
9,33,"BRA","Brazil",9,"Goiás","Estado","State",NA,"Goiáz|Goyáz"
10,33,"BRA","Brazil",10,"Maranhão","Estado","State",NA,"São Luíz de Maranhão"
11,33,"BRA","Brazil",11,"Mato Grosso do Sul","Estado","State",NA,NA
12,33,"BRA","Brazil",12,"Mato Grosso","Estado","State",NA,"Matto Grosso"
13,33,"BRA","Brazil",13,"Minas Gerais","Estado","State",NA,"Minas|Minas Geraes"
14,33,"BRA","Brazil",14,"Pará","Estado","State",NA,NA
15,33,"BRA","Brazil",15,"Paraíba","Estado","State",NA,"Parahyba"
16,33,"BRA","Brazil",16,"Paraná","Estado","State",NA,NA
17,33,"BRA","Brazil",17,"Pernambuco","Estado","State",NA,"Pernambouc"
18,33,"BRA","Brazil",18,"Piauí","Estado","State",NA,"Piauhy"
19,33,"BRA","Brazil",19,"Rio de Janeiro","Estado","State",NA,NA
20,33,"BRA","Brazil",20,"Rio Grande do Norte","Estado","State",NA,NA
21,33,"BRA","Brazil",21,"Rio Grande do Sul","Estado","State",NA,NA
22,33,"BRA","Brazil",22,"Rondônia","Estado","State",NA,"Guaporé"
23,33,"BRA","Brazil",23,"Roraima","Estado","State",NA,"Rio Branco"
24,33,"BRA","Brazil",24,"São Paulo","Estado","State",NA,NA
25,33,"BRA","Brazil",25,"Santa Catarina","Estado","State",NA,"Santa Catharina"
26,33,"BRA","Brazil",26,"Sergipe","Estado","State",NA,NA
27,33,"BRA","Brazil",27,"Tocantins","Estado","State",NA,NA
